dataset,model,decile,n_obs,predicted_mean,actual_mean,predicted_p50,actual_p50
cpg,TreeMMM,6,2700,6.109690750826086,6.077722159431726,6.106297453764448,5.942471343997788
cpg,TreeMMM,7,2700,7.053788511454662,7.068580554655087,7.027881795381305,6.82299212005182
cpg,TreeMMM,8,2700,8.515684514052642,8.31425101696478,8.48898373760145,7.9903230159251155
cpg,TreeMMM,9,2700,10.981076727047341,10.936323840226558,10.874655393765217,10.562451264761695
cpg,TreeMMM,10,2700,22.598067756899297,23.82393292170835,17.459405156117782,18.071977017200368
cpg,GLMM-Naive,1,2700,0.9902866525477628,3.8441512759493484,1.0082043225686355,3.6534393757523635
cpg,GLMM-Naive,2,2700,2.016845183478597,4.675710036243366,2.032340138831254,4.044449062066947
cpg,GLMM-Naive,3,2700,2.7339513796423196,4.58944448011752,2.733041465474301,3.779916516927692
cpg,GLMM-Naive,4,2700,3.3552258911277884,4.787322347884191,3.3531057851336894,4.112983615310101
cpg,GLMM-Naive,5,2700,3.9753672788975067,5.300069972298804,3.971396216847103,4.584902868559874
cpg,GLMM-Naive,6,2700,4.664159857318741,6.091251807801552,4.65705313040467,5.302144865495986
cpg,GLMM-Naive,7,2700,5.473251369236038,6.910608183878744,5.461605973564144,6.1510091691629
cpg,GLMM-Naive,8,2700,6.522729387628074,8.144017609601086,6.498993693342762,7.336129443441742
cpg,GLMM-Naive,9,2700,8.203273093650955,10.434162950447668,8.142031871873808,9.44874087296636
cpg,GLMM-Naive,10,2700,13.258888597070335,21.80950779998466,11.77264295163123,15.893657524130493
cpg,GLMM-Oracle,1,2700,1.1355256563882345,4.863152094725242,1.0566536325089473,4.2869540435822255
cpg,GLMM-Oracle,2,2700,2.5983594398977417,3.6381435813836034,2.617977501224934,3.0499307415584385
cpg,GLMM-Oracle,3,2700,3.1530929087706414,4.0804966279585315,3.1585744617459026,3.686050508599318
cpg,GLMM-Oracle,4,2700,3.6515675473487472,4.48933689980746,3.648067241321107,4.085523913256028
cpg,GLMM-Oracle,5,2700,4.190672615550756,5.190983626934303,4.179769706146239,4.920599299455134
cpg,GLMM-Oracle,6,2700,4.792812418053978,5.975621851059927,4.78688173540566,5.573389589348052
cpg,GLMM-Oracle,7,2700,5.532140204215572,6.870023994662573,5.521341806958163,6.417061340763803
cpg,GLMM-Oracle,8,2700,6.575336650874809,8.233840791568973,6.545492761419961,7.730922711117655
