n_customers,n_periods,seed,noise_std,model,mape_promo,rank_promo,r2,wmape,share_rep_visits,share_dtc_advertising,share_samples,share_peer_programs,share_digital_impressions,share_conference,true_share_rep_visits,true_share_dtc_advertising,true_share_samples,true_share_peer_programs,true_share_digital_impressions,true_share_conference
500,18,42,0.08,BR-Naive,23.788541806832466,1.0,-49816.339844894625,8.670501020059158,0.3653429547784755,0.22519795819547192,0.30000858697689364,0.08706140476967543,0.021284080046002553,0.0011050152334809793,0.380086424688483,0.20192054143832677,0.3154573208124006,0.057553743286060687,0.04043998204012131,0.004541987734607592
500,18,42,0.08,BR-Oracle,25.356734041003786,1.0,-766.788335501279,2.259296306009339,0.4070084712261921,0.19113050560349887,0.30606651622721426,0.08170391243211005,0.012367004427969574,0.0017235900830151146,0.380086424688483,0.20192054143832677,0.3154573208124006,0.057553743286060687,0.04043998204012131,0.004541987734607592
500,18,42,0.15,GLMM-Naive,28.928980058864205,0.942857142857143,0.3830613425051508,0.7135464849218353,0.38988470512074025,0.21466164426779394,0.31644631298613973,0.07847389066024765,0.00014224745152522543,0.0003911995135532864,0.38084574850300784,0.20059904332925785,0.31552822370575034,0.057991190179666446,0.04062727149869967,0.004408522783617838
500,18,42,0.15,GLMM-Oracle,29.326298252976095,0.942857142857143,0.2664963457364746,0.8025658560559239,0.417579429138466,0.17677785865824264,0.3322643680731192,0.07035739458118548,0.0006164262211856697,0.002404523327800903,0.38084574850300784,0.20059904332925785,0.31552822370575034,0.057991190179666446,0.04062727149869967,0.004408522783617838
500,18,42,0.15,BR-Naive,29.46268422908035,1.0,-31057.529969402258,7.046139325384562,0.3576885285410177,0.22132649744853886,0.30076602302591476,0.09545487003475547,0.015593055894784305,0.009171025054988947,0.38084574850300784,0.20059904332925785,0.31552822370575034,0.057991190179666446,0.04062727149869967,0.004408522783617838
500,18,42,0.15,BR-Oracle,26.599242193760745,1.0,-1148.942790570754,2.557529838617905,0.4103703179586828,0.18527076127085276,0.3102389652233602,0.0811315009975172,0.0097411519720729,0.003247302577514077,0.38084574850300784,0.20059904332925785,0.31552822370575034,0.057991190179666446,0.04062727149869967,0.004408522783617838
500,18,42,0.3,GLMM-Naive,16.19530107858299,1.0,0.3184477438795108,0.7534568628627448,0.40314864941814615,0.19289995710187433,0.30091217035283324,0.0694161839065959,0.022501823041094285,0.011121216179456106,0.3767032228942983,0.1996704375441548,0.31951213875377166,0.05824441058958106,0.04133570849385584,0.004534081724338322
500,18,42,0.3,GLMM-Oracle,19.67028123809721,1.0,0.1862226707965503,0.8306151613554992,0.4292156814242078,0.17182437089953026,0.3250193153461564,0.05510209546573682,0.015150895395203916,0.003687641469164831,0.3767032228942983,0.1996704375441548,0.31951213875377166,0.05824441058958106,0.04133570849385584,0.004534081724338322
500,18,42,0.3,BR-Naive,21.230444488460513,1.0,-22477.737836927117,6.799368012279311,0.38226419713104853,0.2144664559537232,0.28566895064344033,0.0823307259834954,0.022602460270799332,0.012667210017493134,0.3767032228942983,0.1996704375441548,0.31951213875377166,0.05824441058958106,0.04133570849385584,0.004534081724338322
500,18,42,0.3,BR-Oracle,24.032343788506637,1.0,-1890.3154464274012,2.327826462630761,0.42422271054754557,0.19416087425502757,0.29529997886917364,0.07243015331974363,0.011220815680029883,0.0026654673284797056,0.3767032228942983,0.1996704375441548,0.31951213875377166,0.05824441058958106,0.04133570849385584,0.004534081724338322
