dataset,prior_scale,variable,share_mean,share_sd,share_ci5,share_ci95,coef_mean_z,coef_sd_z,coef_ci5_z,coef_ci95_z,n_divergences,min_ess_bulk,max_rhat,holdout_r2,holdout_wmape
cpg,0.5,digital_spend,0.2501182916005287,0.0024573557519840046,0.24597853734254527,0.25422688595774146,0.2351059027282462,0.0025232845948176693,0.23091730884976122,0.2391782481345769,0,2367.0,1.0,0.3659729804967702,0.45101141787632065
cpg,0.5,trade_promo,0.49214323776628655,0.0027472223844646607,0.4877357312109295,0.4966603300652408,0.458935596615821,0.0025245671400968986,0.4548303309708178,0.46312877403952096,0,2367.0,1.0,0.3659729804967702,0.45101141787632065
cpg,0.5,instore_display,0.07604321063075035,0.0023356038051772724,0.07191079012871948,0.0797715710368347,0.07858560886305029,0.0025626011106538848,0.07443194822571134,0.08284092171288983,0,2367.0,1.0,0.3659729804967702,0.45101141787632065
cpg,0.5,social_media,0.03196819075531091,0.0022452421840040314,0.028132973539607784,0.035672837616895006,0.0320392055363821,0.0025671786726760796,0.027779232736074966,0.036302026558561615,0,2367.0,1.0,0.3659729804967702,0.45101141787632065
cpg,1.0,tv_grps,0.1497669320183717,0.0023847998109622947,0.1457969923909118,0.15401986097825038,0.14703528786215625,0.0026156691650962858,0.1427466161753606,0.15133181284143166,0,2347.0,1.01,0.36595250067705887,0.4510056774775215
cpg,1.0,digital_spend,0.2502862520701651,0.00250349222456004,0.2467501652259229,0.2543281373571498,0.23500997606661372,0.0025460859113511564,0.23085703255878057,0.23921042320091748,0,2347.0,1.01,0.36595250067705887,0.4510056774775215
cpg,1.0,trade_promo,0.49196610675531155,0.0029307131814505566,0.4869206908182679,0.4962757489580363,0.4589811202195823,0.0025267460833126765,0.4548450084879306,0.4632366834205829,0,2347.0,1.01,0.36595250067705887,0.4510056774775215
cpg,1.0,instore_display,0.07586503224510668,0.0022867236555049186,0.07259652437835894,0.0801010245219852,0.07860934303154568,0.0025377779093076936,0.07447923241277242,0.08286631831038951,0,2347.0,1.01,0.36595250067705887,0.4510056774775215
cpg,1.0,social_media,0.032115676911044985,0.0022573251316204274,0.028187394393864997,0.03580872083125333,0.03205281704137134,0.0024678255780658277,0.02807389276292722,0.03603497175367979,0,2347.0,1.01,0.36595250067705887,0.4510056774775215
cpg,2.0,tv_grps,0.1496476026410514,0.0024183117684470966,0.1456003908429733,0.15337251180538913,0.14699037770917708,0.0025326409337598443,0.14280789414721232,0.15100966335096347,0,2203.0,1.0,0.3659857825470493,0.450983333899287
