n_customers,n_periods,dataset,model,attribution_mape,rank_correlation,r2,wmape,elapsed_seconds
1500,36,pharma,TreeMMM (LightGBM),10.58833857982737,1.0,0.558759684131888,0.4924905071582139,80.90837454795837
1500,36,pharma,GLMM-Naive,16.729200405580702,1.0,-85799.99598988077,6.892058581939259,15.943727731704712
1500,36,pharma,GLMM-Oracle,24.796350954673407,1.0,-618.5240631949358,1.6194631898979561,20.22383213043213
1500,36,pharma,PyMC-Hier-Naive,18.300091371096567,1.0,-21.601024635318375,1.2288707509140129,98.66267681121826
1500,36,cpg,TreeMMM (LightGBM),24.788975865732585,0.8999999999999998,0.6332461403095633,0.41134994341014625,54.53731179237366
1500,36,cpg,GLMM-Naive,31.563996292745877,0.8999999999999998,0.23844250655307087,0.5349292731479811,11.675271272659302
1500,36,cpg,GLMM-Oracle,20.53481019098001,0.8999999999999998,0.3143239843415072,0.5703666453526905,15.3417649269104
1500,36,cpg,PyMC-Hier-Naive,31.442922303250224,0.8999999999999998,0.3075318068317622,0.4852528520776962,126.16863298416138
1500,36,saas,TreeMMM (LightGBM),14.27538460715877,0.8999999999999998,0.6034322110239251,0.4147486272948595,75.45929503440857
1500,36,saas,GLMM-Naive,17.318588518585802,0.8999999999999998,0.2582157248732113,0.5354660596783499,14.890965223312378
1500,36,saas,GLMM-Oracle,10.548973061555575,0.8999999999999998,0.3721618976273954,0.5301186606306687,15.642956256866455
1500,36,saas,PyMC-Hier-Naive,17.361766956958455,0.8999999999999998,0.39219393762442545,0.4761871371179144,85.76923036575317
1500,36,linear,TreeMMM (LightGBM),0.4617157917407488,1.0,0.9531000070022987,0.054139029399393315,44.35225772857666
1500,36,linear,GLMM-Naive,0.12190834467227889,1.0,0.9533831382482933,0.05399036806702618,24.529813051223755
1500,36,linear,GLMM-Oracle,0.12190834467227889,1.0,0.9533831382482933,0.05399036806702618,28.397870779037476
1500,36,linear,PyMC-Hier-Naive,0.21537794385740058,1.0,0.9845365659511601,0.030262335367691406,129.58170700073242
3000,36,pharma,TreeMMM (LightGBM),15.635124845771273,1.0,0.551708561443129,0.4926128788160024,85.57010674476624
3000,36,pharma,GLMM-Naive,21.59166479981069,1.0,-826676.8862775845,10.795054668378116,20.73207402229309
3000,36,pharma,GLMM-Oracle,20.24409747016874,1.0,-434039.307358539,6.187843486297109,32.412755250930786
3000,36,pharma,PyMC-Hier-Naive,22.0868643541216,1.0,-222.0225358760124,2.029809008010418,205.51428270339966
3000,36,cpg,TreeMMM (LightGBM),24.52897309046681,0.8999999999999998,0.6246430305850328,0.40813243603170135,88.33541440963745
3000,36,cpg,GLMM-Naive,32.18461167163558,0.8999999999999998,0.23234404774554984,0.5324166897379066,33.468688011169434
3000,36,cpg,GLMM-Oracle,20.697010657226038,0.8999999999999998,0.4257623755364299,0.4886673109981245,39.1259388923645
3000,36,cpg,PyMC-Hier-Naive,31.856667772090184,0.8999999999999998,0.3662311434602138,0.45097018237263375,185.92919087409973
3000,36,saas,TreeMMM (LightGBM),14.723388660347926,0.8999999999999998,0.583144700358625,0.41276446088183544,74.50052070617676
3000,36,saas,GLMM-Naive,18.287672743314864,0.8999999999999998,0.20940959309837281,0.5590264828944886,44.00801920890808
3000,36,saas,GLMM-Oracle,11.018173191963943,0.8999999999999998,0.30545597010372894,0.5676155924646997,36.18101358413696
3000,36,saas,PyMC-Hier-Naive,18.506670639936186,0.8999999999999998,0.31095809710267464,0.4757636750254973,196.03381943702698
3000,36,linear,TreeMMM (LightGBM),0.2936494547984774,1.0,0.9525426023486229,0.054829763369717247,76.73861169815063
3000,36,linear,GLMM-Naive,0.07950663939317416,1.0,0.9527693302062866,0.054698122815087555,58.586732149124146
3000,36,linear,GLMM-Oracle,0.07950663939317416,1.0,0.9527693302062866,0.054698122815087555,59.40952777862549
3000,36,linear,PyMC-Hier-Naive,0.012988000746201262,1.0,0.9833877399580211,0.03192831241972212,241.53080677986145
